figure_no,chapter,caption,type,source_url,access_date,local_path,status
图13.5,13,controller 基础服务与 Keystone 里程碑,real-screenshot,,2026-08-12,第三版教材图片/图13.5.png,pending-capture
图13.6,13,Nova 与 Neutron 双节点里程碑,real-screenshot,,2026-08-12,第三版教材图片/图13.6.png,pending-capture
图13.7,13,Cinder `/dev/sdb` 初始化前的人工确认,real-screenshot,,2026-08-12,第三版教材图片/图13.7.png,placeholder-needs-capture
图13.8,13,Swift `/dev/sdc` 初始化前的人工确认,real-screenshot,,2026-08-12,第三版教材图片/图13.8.png,placeholder-needs-capture
图13.9,13,智能体生成的部署验收报告,real-screenshot,,2026-08-12,第三版教材图片/图13.9.png,placeholder-needs-capture
图13.10,13,智能体生成的平台巡检摘要,real-screenshot,,2026-08-12,第三版教材图片/图13.10.png,placeholder-needs-capture
图13.11,13,项目、用户、角色与配额结果,real-screenshot,,2026-08-12,第三版教材图片/图13.11.png,placeholder-needs-capture
图13.12,13,两个教学镜像处于 active 状态,real-screenshot,,2026-08-12,第三版教材图片/图13.12.png,placeholder-needs-capture
图13.13,13,教学实例规格列表,real-screenshot,,2026-08-12,第三版教材图片/图13.13.png,placeholder-needs-capture
图13.14,13,Provider 网络和地址池,real-screenshot,,2026-08-12,第三版教材图片/图13.14.png,placeholder-needs-capture
图13.15,13,租户网络与路由器拓扑,real-screenshot,,2026-08-12,第三版教材图片/图13.15.png,placeholder-needs-capture
图13.16,13,安全组规则与密钥对元数据,real-screenshot,,2026-08-12,第三版教材图片/图13.16.png,placeholder-needs-capture
图13.17,13,book-vm01 实例进入 ACTIVE,real-screenshot,,2026-08-12,第三版教材图片/图13.17.png,placeholder-needs-capture
图13.18,13,浮动 IP 绑定与连通性测试,real-screenshot,,2026-08-12,第三版教材图片/图13.18.png,placeholder-needs-capture
图13.19,13,Cinder 卷附加到实例,real-screenshot,,2026-08-12,第三版教材图片/图13.19.png,placeholder-needs-capture
图13.20,13,Swift 对象上传、下载与摘要一致,real-screenshot,,2026-08-12,第三版教材图片/图13.20.png,placeholder-needs-capture
图13.21,13,从实例快照启动 book-vm02,real-screenshot,,2026-08-12,第三版教材图片/图13.21.png,placeholder-needs-capture
图13.22,13,实例规格调整前后对比,real-screenshot,,2026-08-12,第三版教材图片/图13.22.png,placeholder-needs-capture
图13.23,13,智能体生成的分层健康报告,real-screenshot,,2026-08-12,第三版教材图片/图13.23.png,placeholder-needs-capture
图13.24,13,实例启动失败的调度与资源证据链,real-screenshot,,2026-08-12,第三版教材图片/图13.24.png,placeholder-needs-capture
图13.25,13,网络故障的证据链与根因定位,real-screenshot,,2026-08-12,第三版教材图片/图13.25.png,placeholder-needs-capture
图13.26,13,neutron-server 受控恢复过程,real-screenshot,,2026-08-12,第三版教材图片/图13.26.png,placeholder-needs-capture
图13.27,13,容量分析、日志摘要和脱敏备份清单,real-screenshot,,2026-08-12,第三版教材图片/图13.27.png,placeholder-needs-capture
图13.28,13,清理计划与零残留验证,real-screenshot,,2026-08-12,第三版教材图片/图13.28.png,placeholder-needs-capture
