chapter,second_edition_figure,decision,target_number,proposed_title,width_cm,source_or_capture,placement_anchor,reason,owner
3,,重绘,图3.2,OpenInfra基金会与OpenStack治理结构,14.0,OpenInfra现行章程 OpenStack技术委员会章程与四项开放原则,图3.2表示基金会技术委员会项目团队以及用户开发者和商业生态之间的关系,呈现组织保障技术治理软件交付和社区反馈的协作结构,本任务真实绘图与插入
3,,重绘,图3.3,OpenStack逻辑架构与服务分层,14.0,OpenStack官方文档与官方研究底稿,图3.3从上到下排列访问层控制层和资源层,说明逻辑职责以及API消息队列数据库和代理驱动关系,本任务真实绘图与插入
3,,重绘,图3.4,OpenStack核心服务与资源对象,14.0,OpenStack服务目录和项目导航资料,图3.4把八个核心服务与主要资源对象建立对应关系,突出服务边界和跨服务协作而不把组件画成单体系统,本任务真实绘图与插入
3,,重绘,图3.5,OpenStack发布节奏与教材版本边界,14.0,OpenStack Release Team和治理决议冻结事实,图3.5把Antelope Gazpacho和Hibiscus放在半年发布与SLURP节奏中比较,区分已发布计划状态和教材实验版本,本任务真实绘图与插入
3,,重绘,图3.6,OpenStack扩展项目生态,14.0,OpenStack Project Navigator与2026.1安装指南,图3.6按照编排硬件存储网络安全容器和遥测能力域排列扩展项目,形成核心服务之外的能力地图,本任务真实绘图与插入
3,,重绘,图3.7,实例创建过程中的服务协作,14.0,Nova架构调度和Keystone服务目录资料,图3.7以概念时序展示实例创建中的主要调用,串联Keystone Nova Placement Glance Neutron计算节点及可选Cinder路径,本任务真实绘图与插入
4,图4.1.1 原生OpenStack云平台最小化逻辑架构,重绘,图4.1,openEuler LTS与SP生命周期,13.5,openEuler官方生命周期与版本表冻结事实,openEuler 24.03 LTS是一个长期支持版本族,区分LTS版本族与大小SP维护周期并标明SP3位置,Task13真实绘图与插入
4,,重绘,图4.2,双节点实验拓扑与存储分工,14.0,本章固定地址网卡与磁盘参数,本书采用controller与compute两个节点,呈现ens33管理网ens34 Provider网及compute三块磁盘角色,Task13真实绘图与插入
4,图4.1.3—图4.1.26、图4.1.46 旧虚拟机创建与系统安装截图,重拍,图4.3,openEuler虚拟机创建与系统登录,13.5,隔离教学环境中的openEuler SP3真实界面,准备两台已经安装openEuler 24.03 LTS SP3的虚拟机,合并保留创建与登录关键观察点并删除旧系统逐屏截图,Task13真实截图与插入
4,图4.1.47—图4.1.50 旧网络配置截图,重拍,图4.4,固定管理网络配置,13.5,双节点openEuler SP3 NetworkManager真实界面,ens33使用手工IPv4配置,重拍固定地址结果并体现ens34无地址边界,Task13真实截图与插入
4,图4.1.51、图4.3.1 hosts配置截图,重拍,图4.5,hosts文件配置,12.5,双节点真实hosts文件脱敏截图,后续服务配置会反复使用controller和compute名称,保留主机名映射教学观察且使用新地址,Task13真实截图与插入
4,图4.3.8、图4.3.11 旧yum仓截图,重拍,图4.6,本地软件仓配置,13.5,controller文件仓与compute FTP仓真实配置,controller直接读取/opt/openstack_repo中的仓数据,并列两个节点同一仓标识与不同baseurl,Task13真实截图与插入
4,,重拍,图4.7,Antelope SP2兼容仓配置,13.5,真实openstack-antelope.repo脱敏截图,发行包生成/etc/yum.repos.d/openstack-antelope.repo后,呈现SP2主仓与更新仓路径并强调非系统降级,Task13真实截图与插入
4,图4.3.9、图4.3.12 旧基础服务截图,重拍,图4.8,基础服务启动,13.5,隔离教学环境中vsftpd与chronyd启动过程,配置保存后，先设置vsftpd随系统启动,只呈现安装与启动过程不伪造状态检查,Task13真实截图与插入
4,图4.1.2、图4.1.27—图4.1.45 旧系统介质与安装截图,删除,,,12.0,第二版旧操作系统介质与逐屏安装图片,删除且不设放置锚点,旧系统和高密度逐屏流程由图4.3的openEuler关键画面替代,Task4文字收口
4,图4.2.1—图4.2.55 SecureCRT与Xshell独立教程截图,删除,,,12.0,第二版终端工具界面图片,删除且不设放置锚点,终端工具只保留一段选型说明不再展开界面教程,Task4文字收口
4,图4.3.2—图4.3.7、图4.3.10、图4.3.13—图4.3.14 旧基础配置与检查截图,删除,,,12.0,第二版旧SELinux仓服务与检查图片,删除且不设放置锚点,新版只保留必要真实重拍并且章节操作到服务启动为止,Task4文字收口
